Arm,children,youngsters,young_adults,adults,elderly
0,NA,NA,NA,mRNA,adeno
1,NA,NA,NA,adeno,mRNA
2,NA,NA,mRNA,NA,adeno
3,NA,NA,mRNA,mRNA,adeno
4,NA,NA,mRNA,adeno,NA
5,NA,NA,mRNA,adeno,mRNA
6,NA,NA,mRNA,adeno,adeno
7,NA,NA,adeno,NA,mRNA
8,NA,NA,adeno,mRNA,NA
9,NA,NA,adeno,mRNA,mRNA
10,NA,NA,adeno,mRNA,adeno
11,NA,NA,adeno,adeno,mRNA
12,NA,mRNA,NA,NA,adeno
13,NA,mRNA,NA,mRNA,adeno
14,NA,mRNA,NA,adeno,NA
15,NA,mRNA,NA,adeno,mRNA
16,NA,mRNA,NA,adeno,adeno
17,NA,mRNA,mRNA,NA,adeno
18,NA,mRNA,mRNA,mRNA,adeno
19,NA,mRNA,mRNA,adeno,NA
20,NA,mRNA,mRNA,adeno,mRNA
21,NA,mRNA,mRNA,adeno,adeno
22,NA,mRNA,adeno,NA,NA
23,NA,mRNA,adeno,NA,mRNA
24,NA,mRNA,adeno,NA,adeno
25,NA,mRNA,adeno,mRNA,NA
26,NA,mRNA,adeno,mRNA,mRNA
27,NA,mRNA,adeno,mRNA,adeno
28,NA,mRNA,adeno,adeno,NA
29,NA,mRNA,adeno,adeno,mRNA
30,NA,mRNA,adeno,adeno,adeno
31,NA,adeno,NA,NA,mRNA
32,NA,adeno,NA,mRNA,NA
33,NA,adeno,NA,mRNA,mRNA
34,NA,adeno,NA,mRNA,adeno
35,NA,adeno,NA,adeno,mRNA
36,NA,adeno,mRNA,NA,NA
37,NA,adeno,mRNA,NA,mRNA
38,NA,adeno,mRNA,NA,adeno
39,NA,adeno,mRNA,mRNA,NA
40,NA,adeno,mRNA,mRNA,mRNA
41,NA,adeno,mRNA,mRNA,adeno
42,NA,adeno,mRNA,adeno,NA
43,NA,adeno,mRNA,adeno,mRNA
44,NA,adeno,mRNA,adeno,adeno
45,NA,adeno,adeno,NA,mRNA
46,NA,adeno,adeno,mRNA,NA
47,NA,adeno,adeno,mRNA,mRNA
48,NA,adeno,adeno,mRNA,adeno
49,NA,adeno,adeno,adeno,mRNA
50,mRNA,NA,NA,NA,adeno
51,mRNA,NA,NA,mRNA,adeno
52,mRNA,NA,NA,adeno,NA
53,mRNA,NA,NA,adeno,mRNA
54,mRNA,NA,NA,adeno,adeno
55,mRNA,NA,mRNA,NA,adeno
